position, player, projection, salary
QB,Roethlisberger Ben,35.7,8000,9
QB,Luck Andrew,30.66,10100,9
QB,Brady Tom,28.72,9000,9
QB,Tannehill Ryan,28.22,7900,9
QB,Manning Peyton,23.82,10000,9
QB,Manning Eli,22.16,7600,9
QB,Palmer Carson,20.76,7800,9
QB,Fitzpatrick Ryan,20.02,6400,9
QB,Flacco Joe,19.32,7300,9
QB,Brees Drew,19.08,9100,9
QB,Glennon Mike,18.1,6500,9
QB,Hoyer Brian,17.9,6200,9
QB,Bortles Blake,17.88,6200,9
QB,Bridgewater Teddy,16.72,5900,9
QB,Dalton Andy,16.42,8500,9
QB,Smith Alex,15.96,7100,9
QB,Griffin III Robert,15.44,7200,9
QB,Carr Derek,14.66,6800,9
QB,Sanchez Mark,14.58,5000,9
QB,Vick Michael,13.64,6900,9
QB,Newton Cam,13.34,7800,9
QB,Kaepernick Colin,10.88,7800,9
QB,Wilson Russell,10.26,8600,9
QB,Weeden Brandon,9.52,5000,9
QB,Foles Nick,8.06,8400,9
QB,Davis Austin,7.1,7000,9
QB,Simms Matt,1.76,6500,9
QB,Moore Matt,0.84,5000,9
QB,Rivers Philip,0.82,8800,9
QB,Clemens Kellen,0.4,5000,9
QB,Schaub Matt,0,5500,9
QB,Hill Shaun,0,5000,9
QB,McCown Luke,0,5000,9
QB,Nassib Ryan,0,5000,9
RB,Lynch Marshawn,28.8,8200,9
RB,Hill Jeremy,28.8,5200,9
RB,Asiata Matt,27.7,5700,9
RB,Morris Alfred,23.9,6800,9
RB,Ingram Mark,23.5,6100,9
RB,Hillman Ronnie,21.8,7200,9
RB,Ellington Andre,21.4,7700,9
RB,Foster Arian,18.9,9400,9
RB,Robinson Denard,17.4,6700,9
RB,Charles Jamaal,15.8,9000,9
RB,Vereen Shane,15.2,6600,9
RB,Bell Le'Veon,14.3,8700,9
RB,McCoy LeSean,13.3,7800,9
RB,Forsett Justin,13,6500,9
RB,Rainey Bobby,12.6,6200,9
RB,Miller Lamar,12.2,7300,9
RB,West Terrance,11.5,4800,9
RB,Williams Andre,11.1,6200,9
RB,Johnson Chris,11.1,5700,9
RB,Murray DeMarco,11,9600,9
RB,Polk Chris,11,4800,9
RB,Hillis Peyton,9.5,4700,9
RB,Bradshaw Ahmad,9.4,7500,9
RB,McFadden Darren,8.7,6000,9
RB,McKinnon Jerick,8.3,6300,9
RB,Gerhart Toby,8.3,4800,9
RB,Sproles Darren,8.3,6100,9
RB,Helu Roy,7.2,5200,9
RB,Dunbar Lance,7.1,5000,9
RB,Anderson C.J.,6.6,4900,9
RB,Cunningham Benny,6.3,5300,9
RB,Gore Frank,6.3,7200,9
RB,Mason Tre,6.2,5400,9
RB,Williams Damien,6.1,4600,9
RB,Williams DeAngelo,5.5,5700,9
RB,Turbin Robert,5.4,4700,9
RB,Richardson Trent,5.2,5900,9
RB,Tate Ben,5.2,6900,9
RB,Taliaferro Lorenzo,5,6400,9
RB,Stewart Jonathan,4.6,5300,9
RB,Cadet Travaris,4.5,5300,9
RB,Peerman Cedric,4.1,4600,9
RB,Thomas De'Anthony,3.6,4800,9
RB,Brown Donald,3.4,6000,9
RB,Gray Jonas,3.3,6000,9
RB,Thomas Daniel,3.2,4800,9
RB,Oliver Branden,3.1,7000,9
RB,Reece Marcel,2.7,4700,9
RB,Cox Michael,2.7,4500,9
RB,Hyde Carlos,2.7,5800,9
RB,Blount LeGarrette,2.3,4700,9
RB,Develin James,2.3,4500,9
RB,Hughes Robert,2.3,4600,9
RB,Murray Latavius,2.2,4500,9
RB,Ivory Chris,2.2,6700,9
RB,Powell Bilal,2,4800,9
RB,Herron Dan,1.9,4600,9
RB,Thompson Juwan,1.7,6500,9
RB,Juszczyk Kyle,1.7,4800,9
RB,Michael Christine,1.6,4500,9
RB,Todman Jordan,1.5,4500,9
RB,Blue Alfred,1.5,5100,9
RB,Jones-Drew Maurice,1.4,5100,9
RB,Hewitt Ryan,1.2,4500,9
RB,Watts Trey,1.1,4600,9
RB,Miller Bruce,1,4500,9
RB,Davis Knile,0.9,6400,9
RB,James Mike,0.9,4900,9
RB,Johnson Will,0.6,4800,9
RB,Brown Ronnie,0.5,4700,9
RB,Archer Dri,0.4,4500,9
RB,Randle Joseph,0.2,4800,9
RB,Hynoski Henry,0.2,4500,9
RB,Pierce Bernard,0.2,5500,9
RB,Crowell Isaiah,0,4800,9
RB,Young Darrel,0,4900,9
RB,Ta'ufo'ou Will,0,4600,9
RB,Reynolds Chase,0,4500,9
RB,Lorig Erik,0,4500,9
RB,Sherman Anthony,0,4800,9
RB,Bolden Brandon,0,4500,9
RB,Conner John,0,4500,9
RB,Felton Jerome,0,4500,9
RB,Banyard Joe,0,4600,9
RB,Clutts Tyler,0,4500,9
RB,Gray Cyrus,0,4900,9
RB,Grimes Jonathan,0,4500,9
RB,Olawale Jamize,0,4600,9
RB,Prosch Jay,0,4500,9
WR,Maclin Jeremy,30.8,8400,9
WR,Evans Mike,27.9,6000,9
WR,Hurns Allen,26.7,5000,9
WR,Brown Antonio,25.9,9000,9
WR,Edelman Julian,25.4,6800,9
WR,Hopkins DeAndre,20.5,6900,9
WR,Sanders Emmanuel,20.1,8200,9
WR,Jackson DeSean,20,7800,9
WR,Beckham Jr. Odell,19.6,6600,9
WR,Harvin Percy,19.2,6400,9
WR,Sanu Mohamed,18.4,7200,9
WR,Boldin Anquan,18.3,6300,9
WR,Bryant Martavis,18.2,6300,9
WR,Gabriel Taylor,17.2,5000,9
WR,Decker Eric,16.8,6200,9
WR,Thomas Demaryius,16.2,9200,9
WR,Wayne Reggie,15,6800,9
WR,Hilton T.Y.,14.6,8100,9
WR,LaFell Brandon,14.3,6900,9
WR,Smith Torrey,14.3,6100,9
WR,Wheaton Markus,13.6,5900,9
WR,Landry Jarvis,13.1,5200,9
WR,Washington Corey,12.8,4500,9
WR,Green A.J.,11.6,8400,9
WR,Jackson Vincent,11.6,6700,9
WR,Matthews Jordan,11.5,5900,9
WR,Jennings Greg,10.6,6000,9
WR,Britt Kenny,10.2,5300,9
WR,Stills Kenny,9.7,6000,9
WR,Fitzgerald Larry,9.5,6900,9
WR,Matthews Rishard,8.6,5000,9
WR,Bryant Dez,8.5,8800,9
WR,Bowe Dwayne,8.5,6200,9
WR,Floyd Malcom,8,5600,9
WR,Hartline Brian,7.5,4900,9
WR,Cotchery Jerricho,6.9,4900,9
WR,Randle Rueben,6.9,6400,9
WR,Austin Miles,6.9,4800,9
WR,Allen Keenan,6.7,6700,9
WR,Shorts Cecil,6.5,6100,9
WR,Crabtree Michael,6.5,6700,9
WR,Wallace Mike,6.5,7200,9
WR,Baldwin Doug,6.3,6700,9
WR,Benjamin Travis,6.2,5900,9
WR,Smith Steve,6.1,7200,9
WR,Jones Jacoby,6,4500,9
WR,Nicks Hakeem,5.9,4900,9
WR,Floyd Michael,5.6,6500,9
WR,Johnson Steve,5.6,5700,9
WR,Robinson Allen,5.5,6500,9
WR,Cooks Brandin,5.3,6400,9
WR,Ginn Jr. Ted,5.2,4800,9
WR,Colston Marques,5.1,6700,9
WR,Hawkins Andrew,4.9,6400,9
WR,Welker Wes,4.6,6300,9
WR,Amendola Danny,4.5,4900,9
WR,Brown Marlon,4.2,4500,9
WR,Huff Josh,4.1,4900,9
WR,Wright Jarius,3.9,4900,9
WR,Holmes Andre,3.8,6500,9
WR,Cooper Riley,3.6,5300,9
WR,Jones James,3.3,5600,9
WR,Butler Brice,3,5000,9
WR,Meachem Robert,3,4500,9
WR,Garcon Pierre,3,6900,9
WR,Williams Terrance,2.9,6800,9
WR,Benjamin Kelvin,2.8,7000,9
WR,Roberts Andre,2.8,4900,9
WR,Austin Tavon,2.8,4900,9
WR,Richardson Paul,2.7,4900,9
WR,Johnson Damaris,2.6,5100,9
WR,Norwood Kevin,2.4,4500,9
WR,Murphy Louis,2.3,6200,9
WR,Maehl Jeff,2.3,4600,9
WR,Gibson Brandon,2.3,4500,9
WR,Johnson Andre,2.2,6900,9
WR,Kerley Jeremy,2.1,4500,9
WR,Hemingway Junior,1.9,4800,9
WR,Wilson Albert,1.8,4900,9
WR,Johnson Charles,1.8,4600,9
WR,Beasley Cole,1.7,4500,9
WR,Brown John,1.7,6400,9
WR,Aiken Kamar,1.7,4600,9
WR,Harris Dwayne,1.7,4500,9
WR,Lloyd Brandon,1.5,5300,9
WR,Tate Brandon,1.5,5400,9
WR,Jenkins A.J.,1.5,5100,9
WR,Patterson Cordarrelle,1.4,6300,9
WR,Ellington Bruce,1.4,4500,9
WR,Avant Jason,1.3,4800,9
WR,Thompkins Kenbrell,1.3,4800,9
WR,Parker Preston,1.2,4700,9
WR,Bailey Stedman,1.2,4700,9
WR,Wright James,1.1,4500,9
WR,Kearse Jermaine,0.9,4700,9
WR,Moore Lance,0.9,4900,9
WR,Moncrief Donte,0.7,6200,9
WR,Moore Marlon,0,4500,9
WR,Heyward-Bey Darrius,0,4500,9
WR,Ogletree Kevin,0,4500,9
WR,Royal Eddie,0,5900,9
WR,Graham T.J.,0,4500,9
WR,Lockette Ricardo,0,4700,9
WR,Lee Marqise,0,4800,9
WR,Whalen Griff,0,4800,9
WR,Ajirotutu Seyi,0,4500,9
WR,Little Greg,0,4900,9
WR,Givens Chris,0,4600,9
WR,Latimer Cody,0,4500,9
WR,Burse Isaiah,0,4500,9
WR,Martin Keshawn,0,4500,9
WR,Caldwell Andre,0,4500,9
WR,Hakim Saalim,0,4500,9
WR,Grant Ryan,0,4600,9
WR,Moss Santana,0,4500,9
WR,Sanders Ace,0,4500,9
WR,Bersin Brenton,0,4800,9
WR,Inman Dontrelle,0,4500,9
WR,Tyms Brian,0,4500,9
WR,Hammond Frankie,0,4500,9
WR,Osgood Kassim,0,4500,9
WR,Street Devin,0,4500,9
WR,Thielen Adam,0,4800,9
WR,Herron Robert,0,4800,9
WR,Moore Denarius,0,4500,9
WR,Williams Damian,0,4500,9
WR,Salas Greg,0,4600,9
WR,Shepard Russell,0,4500,9
TE,Gronkowski Rob,21,7900,9
TE,Rivera Mychal,19.8,5000,9
TE,Graham Jimmy,17.8,7000,9
TE,Fleener Coby,15.7,5100,9
TE,Ford Chase,15.1,5000,9
TE,Clay Charles,15,4900,9
TE,Kelce Travis,14.7,5400,9
TE,Allen Dwayne,12.8,6200,9
TE,Spaeth Matt,11.8,4500,9
TE,Donnell Larry,10.5,5400,9
TE,Thomas Julius,10.3,7800,9
TE,Fasano Anthony,9.9,5000,9
TE,Witten Jason,9.2,5700,9
TE,Carlson John,8.9,4600,9
TE,Daniels Owen,8.3,5500,9
TE,Gillmore Crockett,6.6,4900,9
TE,Gresham Jermaine,6.1,5100,9
TE,Ellison Rhett,5,4500,9
TE,Olsen Greg,4.5,7200,9
TE,Gates Antonio,4.3,7100,9
TE,Dray Jim,3.1,4900,9
TE,Davis Vernon,2.9,5700,9
TE,Paul Niles,2.8,4900,9
TE,Barnidge Gary,2.6,4500,9
TE,Reed Jordan,2.2,5500,9
TE,Cook Jared,2.2,4900,9
TE,Willson Luke,2.1,5100,9
TE,Hoskins Gator,1.9,4500,9
TE,Miller Heath,1.9,5400,9
TE,Celek Brent,1.7,4500,9
TE,Tamme Jacob,1.5,4700,9
TE,Kendricks Lance,1.2,4800,9
TE,Carrier Derek,1.1,4600,9
TE,Harris Demetrius,1.1,4500,9
TE,Williams Brandon,1.1,4500,9
TE,Ertz Zach,0.9,5400,9
TE,Watson Ben,0.9,4800,9
TE,Seferian-Jenkins Austin,0.8,5000,9
TE,Helfet Cooper,0,5000,9
TE,Burton Trey,0,4500,9
TE,Casey James,0,4500,9
TE,Paulsen Logan,0,4500,9
TE,Doyle Jack,0,4600,9
TE,Niklas Troy,0,4500,9
TE,Wright Tim,0,5800,9
TE,Cumberland Jeff,0,4900,9
TE,Fells Daniel,0,5100,9
TE,Phillips John,0,4800,9
TE,Escobar Gavin,0,5300,9
TE,Myers Brandon,0,4600,9
TE,Amaro Jace,0,5100,9
TE,Green Ladarius,0,4800,9
TE,Griffin Ryan,0,4500,9
TE,Sudfeld Zach,0,4500,9
TE,Dickson Ed,0,4600,9
TE,Hoomanawanui Michael,0,4500,9
TE,Housler Rob,0,4800,9
TE,Leonhardt Brian,0,4600,9
TE,Hill Josh,0,4900,9
TE,Stocker Luke,0,4500,9
TE,Harkey Cory,0,4600,9
TE,Graham Garrett,0,4800,9
TE,Gray Marqueis,0,4500,9
TE,Palmer Michael,0,4800,9
TE,Robinson Adrien,0,4500,9
TE,McDonald Vance,0,4500,9
TE,Johnson David,0,4500,9
TE,Hanna James,0,4500,9
TE,Harbor Clay,0,5200,9
TE,Fiedorowicz C.J.,0,4600,9
K,Vinatieri Adam,19,5100,9
K,Gostkowski Stephen,15,5400,9
K,Sturgis Caleb,13,4900,9
K,Hauschka Steven,13,5000,9
K,Cundiff Billy,12,4600,9
K,Forbath Kai,8,5000,9
K,Parkey Cody,8,5000,9
K,Bailey Dan,7,5400,9
K,Nugent Mike,7,5100,9
K,Zuerlein Greg,7,4500,9
K,Janikowski Sebastian,7,4900,9
K,Santos Cairo,6,4800,9
K,Brown Josh,6,5000,9
K,Murray Patrick,6,4700,9
K,Tucker Justin,6,5300,9
K,Suisham Shaun,5,4900,9
K,Scobee Josh,5,4600,9
K,Catanzaro Chandler,4,4900,9
K,Dawson Phil,4,5100,9
K,Folk Nick,4,4600,9
K,Graham Shayne,4,4800,9
K,Gano Graham,4,5100,9
K,McManus Brandon,3,4600,9
K,Walsh Blair,3,4900,9
K,Bullock Randy,3,4800,9
K,Novak Nick,0,4700,9
DEF,Miami Defense,22,5100,9
DEF,Houston Defense,17,4800,9
DEF,St. Louis Defense,16,4600,9
DEF,Seattle Defense,14,5500,9
DEF,New Orleans Defense,12,4600,9
DEF,Arizona Defense,11,5100,9
DEF,New England Defense,11,5100,9
DEF,Dallas Defense,9,4700,9
DEF,Cleveland Defense,9,4800,9
DEF,San Francisco Defense,9,5200,9
DEF,Pittsburgh Defense,9,4800,9
DEF,Cincinnati Defense,8,5600,9
DEF,Tampa Bay Defense,7,4800,9
DEF,Philadelphia Defense,7,5000,9
DEF,Carolina Defense,7,4600,9
DEF,Kansas City Defense,7,5300,9
DEF,Minnesota Defense,7,4900,9
DEF,Baltimore Defense,7,4900,9
DEF,Jacksonville Defense,5,4500,9
DEF,Indianapolis Defense,5,5200,9
DEF,Oakland Defense,3,4500,9
DEF,New York J Defense,1,4500,9
DEF,Washington Defense,1,4800,9
DEF,Denver Defense,-1,4900,9
DEF,New York G Defense,-3,4600,9
DEF,San Diego Defense,-4,4700,9
